Tool	Platform	Code	Description	License	Added	Updated
scSeqR	R	https://github.com/rezakj/scSeqR	scSeqR (Single Cell Sequencing R package) is an interactive R package to works with high-throughput single cell sequencing technologies (i.e scRNA-seq, scVDJ-seq and CITE-seq).	GPL-2.0	2018-11-09	2018-11-09
scShaper	R/C++	https://github.com/elolab/scshaper	A tool for linear trajectory inference from single-cell RNA-seq data through discrete pseudotime estimation using Shortest HAmiltonian path PERmuted clustering	GPL-3.0	2021-05-07	2021-12-17
scShapes	R	https://github.com/Malindrie/scShapes	A novel statistical framework for identifying differential distributions in single-cell RNA-sequencing (scRNA-seq) data between treatment conditions by modeling gene expression read counts using generalized linear models (GLMs)	GPL-3.0	2021-10-29	2022-03-04
scsim	Python	https://github.com/dylkot/scsim	Simulate single-cell RNA-SEQ data using the Splatter statistical framework but implemented in python.	MIT	2019-07-24	2019-07-24
scSimClassify	Python	https://github.com/digi2002/scSimClassify	A reference-free and alignment-free approach to classify cell types with k-mer level features derived from raw reads in a scRNA-seq experiment	GPL-3.0	2021-06-04	2021-07-27
SCSit	C/Python	https://github.com/shang-qian/SCSit	A high-efficiency preprocessing tool for single-cell sequencing data from SPLiT-seq	MIT	2021-08-27	2021-08-27
scsnv	C++/Python	https://github.com/GWW/scsnv	scSNV is an alternative to Cell Ranger + velocyto for the alignment, quantification and SNV calling of 10X Single Cell RNA-seq data	MIT	2021-05-14	2021-05-14
scSO	MATLAB/Python/C++/Fortran	https://github.com/QuKunLab/scSO	scSO is a new algorithm for scRNA-seq data clustering based on Sparse Optimization and low-rank matrix factorization	BSD-2-Clause	2021-04-12	2021-04-12
scSorter	R	https://github.com/hyguo2/scSorter	Clusters cells to known cell types based on marker genes specified for each cell type	GPL-3.0	2021-02-26	2021-02-26
scSplit	Python	https://github.com/jon-xu/sc_split	Genotype-free demultiplexing of pooled single-cell RNAseq, using a hidden state model for identifying genetically distinct samples within a mixed population	MIT	2019-03-15	2021-06-28
scSVA	R	https://github.com/klarman-cell-observatory/scSVA	An R package for interactive two- and three-dimensional visualization and exploration of massive single-cell omics data.	GPL-3.0	2019-01-14	2019-01-14
scTCRseq	Python	https://github.com/ElementoLab/scTCRseq	This project is an implementation of a pipeline for Single-cell RNAseq package for recovering TCR data in python.	AGPL-3.0	2017-09-09	2021-06-28
scTDA	Python	https://github.com/pcamara/scTDA	scTDA is an object oriented python library for topological data analysis of high-throughput single-cell RNA-seq data. It includes tools for the preprocessing, analysis, and exploration of single-cell RNA-seq data based on topological representations.	GPL-3.0	2017-05-09	2017-09-25
scTE	Python	https://github.com/JiekaiLab/scTE	Quantifying transposable element (TEs) expression from single-cell sequencing data	MIT	2021-03-12	2021-03-12
scTenifoldKnk	R/Python/MATLAB	https://github.com/cailab-tamu/scTenifoldKnk	Perform virtual knockout experiments on single-cell gene regulatory networks	GPL-2.0-or-later	2021-03-26	2021-07-27
scTenifoldNet	R/MATLAB	https://github.com/cailab-tamu/scTenifoldNet	Compare single-cell gene regulatory networks (scGRNs) using single-cell RNA-seq (scRNA-seq) data collected from different conditions	GPL-2.0-or-later	2020-02-21	2020-02-21
scTenifoldpy	Python	https://github.com/qwerty239qwe/scTenifoldpy	This package is a Python version of scTenifoldNet and scTenifoldKnk	MIT	2021-11-20	2021-11-20
scTensor	R	NA	Detection of cell-cell interaction within single-cell RNA-Seq data	Artistic-2.0	2019-03-15	2019-03-15
scTGIF	R	https://github.com/rikenbit/scTGIF	Quality control and cell type annotation for unannotated single-cell RNA-Seq data	Artistic-2.0	2019-11-03	2019-11-03
scTHI	R	https://github.com/miccec/scTHI	Indentification of  significantly activated ligand-receptor interactions across clusters of cells from single-cell RNA sequencing data	GPL-2.0	2020-04-29	2020-04-29
scTIM	Python	https://github.com/Frank-Orwell/scTIM	Seeking Cell-Type-Indicative Marker from single cell RNA-seq data by consensus optimization	NA	2020-01-02	2020-01-02
scTITANS	R	https://github.com/ZJUFanLab/scTITANS	Identifying key genes and cell subclusters for time-series single cell sequencing data	GPL-3.0	2021-07-31	2021-07-31
scTOP	Python	https://github.com/Emergent-Behaviors-in-Biology/scTOP	A Python package for finding projections onto known cell phenotyes, given matrices of raw RNA count data	GPL-3.0	2022-03-25	2022-03-25
sctransform	R	https://github.com/ChristophH/sctransform	R package for modeling single cell UMI expression data using regularized negative binomial regression	GPL-3.0	2018-07-27	2018-07-27
scTree	R	https://github.com/jspaezp/sctree	An R package to generate antibody-compatible classifiers from singel-cell sequencing data	Apache-2.0	2020-05-05	2020-05-05
scTreeViz	R	https://github.com/HCBravoLab/scTreeViz	This package provides methods to interactively explore and visualize datasets with hierarchies. eg. single cells datasets with hierarchy over cells at different resolutions	Artistic-2.0	2021-10-29	2021-10-29
scTriangulate	Python	https://github.com/frankligy/scTriangulate	scTriangulate is a Python package to mix-and-match conflicting clustering results in single cell analysis, and generate reconciled clustering solutions	MIT	2021-11-05	2021-11-05
scTSSR	R	https://github.com/Zhangxf-ccnu/scTSSR	scTSSR simultaneously leverages information from both similar genes and similar cells using a two-side sparse self-representation model to impute scRNA-seq data	GPL-3.0	2020-03-03	2020-03-03
ScType	R	https://github.com/IanevskiAleksandr/sc-type	ScType a computational method for automated selection of marker genes based merely on scRNA-seq data	GPL-3.0	2022-03-18	2022-03-18
scTyper	R	https://github.com/omicsCore/scTyper	A comprehensive pipeline for the cell typing analysis of single-cell RNA-seq data	GPL-2.0	2020-08-14	2020-08-14
SCUBA	MATLAB	https://github.com/gcyuan/SCUBA	"SCUBA stands for ""Single-cell Clustering Using Bifurcation Analysis."" SCUBA is a novel computational method for extracting lineage relationships from single-cell gene expression data, and modeling the dynamic changes associated with cell differentiation."	NA	2016-09-12	2016-09-12
SCUBI	R	https://zenodo.org/record/5696986	SCUBI, an unbiased method that visualizes the aggregated information of cells within non-overlapping squares	CC-BY-4.0	2022-01-14	2022-01-14
scumi	Python/R	https://bitbucket.org/jerry00/scumi-dev	scumi is a flexible Python package to process fastq files generated from different single-cell RNA-sequencing (scRNA-seq) protocols to produce a gene-cell sparse expression matrix for downstream analyses,	NA	2019-05-17	2019-05-17
scUnifrac	R	https://github.com/liuqivandy/scUnifrac	scUnifrac is a R package to quantify cell population diversity between two single-cell transcriptome profiles, which calculates the distance, estimates the statistical significance of the distance, identifies the subpopulations that are significant different between two profiles, finds genes that mark subpopulations, and predicts cell types of subpopulations.	Apache-2.0	2018-06-01	2018-06-01
SCUREL	Snakemake/Python/R	https://github.com/zavolanlab/SCUREL	SCUREL is a method to detect 3'UTR changes from scRNA-seq data	Apache-2.0	2021-11-05	2021-11-05
scUTRquant	R/Python	https://github.com/Mayrlab/scUTRquant	A bioinformatics pipeline for single-cell 3' UTR isoform quantification	GPL-3.0	2021-11-27	2021-11-27
scuttle	R/C++	https://github.com/LTLA/scuttle	Provides basic utility functions for performing single-cell analyses, focusing on simple normalization, quality control and data transformations	GPL-3.0	2020-10-30	2020-10-30
scVAE	Python	https://github.com/chgroenbech/scVAE	scVAE: Single-cell variational auto-encoders	Apache-2.0	2018-05-18	2018-05-18
scVDMC	MATLAB	https://github.com/kuanglab/scVDMC	Multitask Clustering of scRNAseq Data	Apache-2.0	2018-04-17	2018-04-17
scVEGs	R	https://github.com/hillas/scVEGs	scVEGs is a novel algorithm for single-cell RNA-seq (scRNA-seq) data to determine significant variably expressed genes (VEGs) using a gene expression variation model (GEVM).	MIT	2016-09-09	2016-09-09
scVelo	Python	https://github.com/theislab/scvelo	scVelo is a scalable toolkit for estimating and analyzing RNA velocities in single cells using dynamical modeling.	BSD-3-Clause	2019-11-03	2020-08-06
scvi-tools	Python	https://github.com/YosefLab/scvi-tools	scvi-tools (single-cell variational inference tools) is a package for probabilistic modeling of single-cell omics data, built on top of PyTorch and Anndata	BSD-3-Clause	2018-04-04	2022-02-18
scVirtualCyto	Javascript	https://github.com/FredPont/single-cell-virtual-cytometer	Single-Cell Virtual Cytometer is an open source software for straightforward visualization and exploration of multimodal single cell datasets as in flow cytometry.	AGPL-3.0	2019-11-21	2020-05-14
scvis	Python	https://bitbucket.org/jerry00/scvis-dev	scvis is a python package for dimension reduction of high-dimensional biological data, especially single-cell RNA-sequencing (scRNA-seq) data	NA	2018-11-15	2018-11-15
scvr	Python	https://github.com/pinellolab/singlecellvr	Tool for preparing scRNA-seq datasets to be viewed using Single Cell VR https://singlecellvr.com/	NA	2020-08-06	2021-11-27
scziDesk	Python	https://github.com/xuebaliang/scziDesk	Deep soft K-means clustering with self-training for single cell RNA sequence data	NA	2020-06-05	2020-06-05
SDAMS	R	https://bioconductor.org/packages/SDAMS	Differential Abundant/Expression Analysis for Metabolomics, Proteomics and single-cell RNA sequencing Data	GPL-1.0	2021-08-06	2021-08-06
SDImpute	R	https://github.com/Jinsl-lab/SDImpute	SDImpute: A statistical block imputation method based on cell-level and gene-level information for dropouts in single-cell RNA-seq data	GPL-3.0	2021-06-25	2021-06-25
SEACells	Python	https://github.com/dpeerlab/SEACells	Single-cEll Aggregation for High Resolution Cell States	GPL-2.0	2022-04-08	2022-04-08
secDrug	R	https://github.com/Ujjal-Mukherjee/secDrug	Drug combination for Cancer treatment using set-cover algorithm	GPL-3.0	2022-03-18	2022-03-18
SEDIM	Python	https://github.com/li-shaochuan/SEDIM	High-throughput Molecular Data Imputation and Characterization with Surrogate-assisted Automatic Neural Architecture Search	NA	2021-10-02	2021-10-02
SEGtool	R	http://bioinfo.life.hust.edu.cn/SEGtool/	SEGtool is an R package with self-adaptive function and high accuracy for specifically expressed gene (SEG, also known as tissue specific gene) detection.	NA	2017-07-16	2017-07-16
SelfE	R	https://github.com/Priyadarshini-Rai/SelfE	SelfE is a feature selection technique offering transparency for the user. It is based on L2-minimization to determine an optimal subset of feature vectors enabling sub-space structures preservation as in the observed data.	Artistic-2.0	2020-07-03	2020-07-03
SELINA	Python	https://github.com/wanglabtongji/SELINA	SELINA is a deep learning-based framework for single cell assignment with multiple references	GPL-3.0	2022-01-14	2022-01-14
SEMITONES	Python	https://github.com/ohlerlab/SEMITONES	Single-cEll Marker IdentificaTiON by Enrichment Scoring	GPL-3.0	2020-11-22	2020-11-22
SEPA	R	https://github.com/zji90/SEPA	SEPA provides convenient functions for users to assign genes into different gene expression patterns such as constant, monotone increasing and increasing then decreasing. SEPA then performs GO enrichment analysis to analysis the functional roles of genes with same or similar patterns.	GPL-2.0-or-later	2016-09-08	2016-09-08
SEPIRA	R	https://github.com/YC3/SEPIRA	SEPIRA includes SCIRA (Single Cell Inference of Regulatory Activity), which leverages the power of large-scale bulk RNA-Seq datasets to infer high-quality tissue-specific regulatory networks, from which regulatory activity estimates in single cells can be subsequently obtained.	GPL-3.0	2019-03-01	2019-03-01
seqgendiff	R	https://github.com/dcgerard/seqgendiff	This package will take real RNA-seq data (either single-cell or bulk) and alter it by adding signal to it.	GPL-3.0	2019-09-09	2019-09-09
SEQUIN	R	https://github.com/ncats/public_sequin	SEQUIN is an R/Shiny application for analysis and visualization of bulk and single-cell RNA-seq data	GPL-3.0	2022-03-04	2022-03-04
SERGIO	Python	https://github.com/PayamDiba/SERGIO	SERGIO is a simulator for single-cell expression data guided by gene regulatory networks.	GPL-3.0	2019-10-24	2022-03-04
SERM	MATLAB	https://github.com/xinglab-ai/self-consistent-expression-recovery-machine	SERM is a data-driven gene expression recovery framework	GPL-2.0	2022-02-04	2022-02-04
Seurat	R	https://github.com/satijalab/seurat	It contains easy-to-use implementations of commonly used analytical techniques, including the identification of highly variable genes, dimensionality reduction (PCA, ICA, t-SNE), standard unsupervised clustering algorithms (density clustering, hierarchical clustering, k-means), and the discovery of differentially expressed genes and markers.	GPL-3.0	2016-09-08	2022-03-04
SeuratV3Wizard	R	https://github.com/nasqar/seuratv3wizard	R Shiny interface for Seurat v3 single-cell analysis library	GPL-3.0	2019-03-01	2019-03-01
SeuratWizard	R	https://github.com/nasqar/SeuratWizard	R Shiny interface for Seurat single-cell analysis library	GPL-3.0	2019-01-18	2021-06-28
sfaira	Python	https://github.com/theislab/sfaira	sfaira is a model and a data repository in a single python package	BSD-3-Clause	2021-01-08	2021-01-08
ShareNet	Python	https://github.com/alexw16/sharenet	ShareNet is a Bayesian framework for boosting the accuracy of cell type-specific gene regulatory associations that can be used with a wide range of general network inference algorithms	MIT	2021-08-06	2021-08-06
SHARP	R	https://github.com/shibiaowan/SHARP	Single-cell RNA-seq Hyper-fast and Accurate processing via ensemble Random Projection	GPL-3.0	2018-11-09	2020-02-13
Sharq	Python/Perl/R	https://bitbucket.org/princessmaximacenter/Sharq	A versatile preprocessing pipeline designed to work with plate-based 3'-end protocols that include Unique Molecular Identifiers (UMIs)	NA	2018-01-25	2018-01-25
ShinyCell	R	https://github.com/SGDDNB/ShinyCell	ShinyCell is a R package that allows users to create interactive Shiny-based web applications to visualise single-cell data	GPL-3.0	2020-11-08	2020-11-08
SiCeLoRe	Java	https://github.com/ucagenomix/sicelore	SiCeLoRe (Single Cell Long Read) is a suite of tools dedicated to cell barcode / UMI assignment and bioinformatics analysis of highly multiplexed single cell Nanopore long read sequencing data.	MIT	2020-03-25	2020-03-25
SICILIAN	Python/R	https://github.com/salzmanlab/SICILIAN	Specific splice junction detection in single cells with SICILIAN (SIngle Cell precIse spLice estImAtioN)	GPL-2.0	2020-04-17	2021-08-11
Sierra	R	https://github.com/VCCRI/Sierra	Sierra is an R package designed for detecting differential transcript usage analysis from polyA-enriched single cell RNASeq data.	GPL-3.0	2019-12-11	2021-06-28
SIEVE	R	https://github.com/YinanZhang522/SIEVE	SIEVE is a strategy used for select highly Variable genes from single-cell RNA Seq data, based on random sampling for all single cells in a scRNA-seq dataset	NA	2021-05-07	2021-05-07
SigEMD	R	https://github.com/NabaviLab/SigEMD	SigEMD is a novel method to identify differentially expressed genes in single cell RNA sequencing data.	NA	2018-05-01	2018-05-01
sigGCN	Python	https://github.com/NabaviLab/sigGCN	Cell classification that combines a graph convolutional network (GCN) and a neural network to exploit gene interaction networks	NA	2021-06-18	2021-07-27
SigHotSpotter	R	https://gitlab.com/srikanth.ravichandran/sighotspotter	A computational tool to predict hotspots of signaling pathways responsible for the stable maintenance of cell subpopulation phenotypes, by integrating signaling and transcriptional networks.	AGPL-3.0	2019-11-15	2019-11-15
SIGMA	R	https://github.com/Siliegia/SIGMA	A package to calculate clusterability in clusters of scRNA-seq data	GPL-3.0	2021-05-14	2021-11-27
signac	R/C++	https://github.com/bioturing/signac	A versatile R package to facilitate the analysis workflow for single-cell data	Custom	2019-07-11	2020-11-22
SignacX	R	https://github.com/mathewchamberlain/SignacX	Signac helps solve the cell type classification problem in single cell RNA sequencing	GPL-3.0	2021-02-05	2021-03-05
SILGGM	R	https://github.com/cran/SILGGM	Provides a general framework to perform statistical inference of each gene pair and global inference of whole-scale gene pairs in gene networks using the well known Gaussian graphical model (GGM) in a time-efficient manner.	GPL-2.0-or-later	2018-08-17	2018-08-17
SIMBA	Python	https://github.com/pinellolab/simba	SIngle-cell eMBedding Along with features	BSD-3-Clause	2021-10-22	2021-10-22
SimCD	R/C	https://github.com/namini94/SimCD	Simultaneous Clustering and Differential (SimCD) is a unified Bayesian method based on a hierarchical gamma-negative binomial (hGNB) model, to simultaneously perform clustering and differential expression analysis for single-cell RNA-seq data	NA	2021-04-12	2021-04-12
SimiC	Python	https://github.com/jianhao2016/simicLASSO_git	SimiC models the GRN inference problem as a LASSO optimization problem with an added similarity constraint	NA	2020-04-13	2020-04-13
SIMLR	R/MATLAB/Python/C++	https://github.com/BatzoglouLabSU/SIMLR	Single-cell Interpretation via Multi-kernel LeaRning which learns an appropriate distance metric from the data for dimension reduction, clustering and visualization.	GPL-3.0	2016-09-09	2021-08-11
SIMPLEs	R	https://github.com/JunLiuLab/SIMPLEs	SIMPLEs: single-cell RNA sequencing imputation and cell clustering methods by modeling gene module variation	MIT	2020-01-20	2020-01-20
simspec	R	https://github.com/quadbiolab/simspec	Implements Cluster Similarity Spectrum (CSS) integration where each cell is represented by its similarities to clusters independently identified across samples	NA	2020-03-12	2020-09-17
SINC	Python	NA	SINC: a scale-invariant deep-neural-network classifier for bulk and single-cell RNA-seq data	NA	2019-11-03	2019-11-03
Sincast	R/C++	https://github.com/meiosis97/Sincast	Sincast is a computational framework to query scRNA-seq data based on bulk reference atlases	NA	2021-11-12	2021-11-12
sincell	R	NA	Existing computational approaches for the assessment of cell-state hierarchies from single-cell data might be formalized under a general workflow composed of i) a metric to assess cell-to-cell similarities (combined or not with a dimensionality reduction step), and ii) a graph-building algorithm (optionally making use of a cells-clustering step). Sincell R package implements a methodological toolbox allowing flexible workflows under such framework.	GPL-2.0-or-later	2016-09-08	2018-03-15
SINCERA	R	https://github.com/xu-lab/SINCERA	R-based pipeline for single-cell analysis including clustering and visualization.	GPL-3.0	2016-09-08	2018-03-14
SINCERITIES	MATLAB/R	https://github.com/CABSEL/SINCERITIES	SINCERITIES is a tool for inferring gene regulatory networks from time-stamped cross-sectional single cell transcriptional expression profiles.	BSD-3-Clause	2017-09-21	2017-09-21
SinCHet	MATLAB	http://labpages2.moffitt.org/chen/software	a MATLAB GUI toolbox for Single Cell Heterogeneity analysis in cancer	NA	2017-11-20	2017-11-20
SINGE	MATLAB	https://github.com/gitter-lab/SINGE	SINGE (Single-cell Inference of Networks using Granger Ensembles) reconstructs gene regulatory networks from pseudotime-annotated scRNA-seq data	MIT	2019-02-05	2022-02-18
SingleCellExplorer	Python	https://github.com/d-feng/scExplorer	Single Cell Explorer is a Python-based web server application for computational and experimental scientists to iteratively and collaboratively annotate cell expression phenotypes within a user-friendly and visually appealing platform.	LGPL-3.0	2019-09-02	2019-09-02
singleCellHaystack	R	https://github.com/alexisvdb/singleCellHaystack	singleCellHaystack is a package for finding surprising needles (=genes) in haystacks (=multi-dimensional representations of single cell transcriptome data)	MIT	2019-02-25	2021-06-18
SingleCellNet	R	https://github.com/pcahan1/singleCellNet	SingleCellNet enables the classifcation of single cell RNA-Seq data across species and platforms	MIT	2019-08-12	2019-08-12
SingleCellSignalR	R	https://github.com/SCA-IRCM/SingleCellSignalR	Allows single cell RNA seq data analysis, clustering, creates internal network and infers cell-cell interactions.	GPL-3.0	2019-12-18	2020-04-29
SingleCellSignatureExplorer	GO/R	https://sites.google.com/site/fredsoftwares/products/single-cell-signature-explorer	Single-Cell Signature Explorer is a package of four software tools dedicated to high throughput signature exploration in single-cell RNA-seq analysis.	NA	2019-05-07	2020-04-14
singleCellTK	R	https://github.com/compbiomed/singleCellTK	Interactive Analysis of Single Cell RNA-Seq Data	MIT	2018-05-13	2020-11-22
SingleR	R	https://github.com/dviraran/SingleR	SingleR leverages reference transcriptomic datasets of pure cell types to infer the cell of origin of each of the single cells independently	GPL-3.0	2018-06-08	2019-11-03
singleseqgset	R	https://github.com/arc85/singleseqgset	singleseqgset is a package for gene set enrichment analysis for single-cell RNAseq data	CC0-1.0	2020-05-29	2020-05-29
SingleSplice	R/Perl/C++	https://github.com/jw156605/SingleSplice	Algorithm for detecting alternative splicing in a population of single cells.	GPL-2.0	2017-01-24	2017-01-24
singlet	Python	https://github.com/iosonofabio/singlet	Single cell RNA-Seq analysis with quantitative phenotypes.	MIT	2017-12-20	2017-12-20
SinNLRR	MATLAB	https://github.com/zrq0123/SinNLRR	SinNLRR: a robust subspace clustering method for cell type detection by nonnegative and low rank representation	NA	2019-03-07	2019-03-07
SinQC	R/Python	http://www.morgridge.net/SinQC.html	A Method and Tool to Control Single-cell RNA-seq Data Quality.	NA	2016-09-08	2017-04-18
Sinto	Python	https://github.com/timoast/sinto	Sinto is a toolkit for processing aligned single-cell data	MIT	2020-05-22	2020-05-22
SIP	Python/R	https://github.com/XuegongLab/SIP	SIP is a single-cell data processing pipeline whose components are interchangeable.	GPL-3.0	2018-11-13	2018-11-13
sircel	Python	https://github.com/pachterlab/Sircel	Identify cell barcodes from single-cell genomics sequencing experiments	MIT	2017-05-21	2017-09-11
SISUA	Python	https://github.com/trungnt13/sisua	SemI-SUpervised generative Autoencoder (SISUA)	MIT	2019-12-11	2019-12-11
slalom	R/Python	https://github.com/bioFAM/slalom	slalom is a scalable modelling framework for single-cell RNA-seq data that uses gene set annotations to dissect single-cell transcriptome heterogeneity.	Apache-2.0	2016-11-29	2017-11-20
sleepwalk	R	https://github.com/anders-biostat/sleepwalk	Sleepwalk, a simple but powerful tool that allows the user to interactively explore an embedding	GPL-3.0	2019-04-16	2019-04-16
SLICE	R	https://research.cchmc.org/pbge/slice.html	The SLICE (Single Cell Lineage Inference Using Cell Expression Similarity and Entropy) algorithm consists of two major steps: (1) measuring cell differentiation states based on the calculation of single cell entropy (scEntropy) and (2) predicting cell differentiation trajectories by ordering single cells according to their scEntropy-derived differentiation states.	GPL-3.0	2017-01-10	2017-01-10
SLICER	R	https://github.com/jw156605/SLICER	Selective Locally linear Inference of Cellular Expression Relationships (SLICER) algorithm for inferring cell trajectories.	GPL-2.0	2016-09-08	2016-09-08
slingshot	R	https://github.com/kstreet13/slingshot	Functions for identifying and characterizing continuous developmental trajectories in single-cell sequencing data.	Artistic-2.0	2016-09-09	2019-01-06
SMILE	Python	https://github.com/rpmccordlab/SMILE	SMILE: Mutual Information Learning for Integration of Single Cell Omics Data	NA	2021-02-05	2021-10-18
SMNN	R	https://github.com/yycunc/SMNN	SMNN: Batch Effect Correction for Single-cell RNA-seq data via Supervised Mutual Nearest Neighbor Detection	GPL-3.0	2019-06-20	2020-09-10
SMSC	MATLAB	NA	A spectral clustering method for scRNA-seq	MIT	2020-10-15	2021-12-10
SNN-Cliq	MATLAB/Python	http://bioinfo.uncc.edu/SNNCliq/	SNN-Cliq is a clustering method designed for high dimensional gene expression data, e.g. single-cell transcriptome data.`	NA	2018-11-13	2018-11-13
solo	Python	https://github.com/calico/Solo	solo is a neural network framework to classify doublets, so that you can remove them from your data and clean your single cell profile.	MIT	2019-11-21	2020-07-03
SoptSC	MATLAB	https://github.com/WangShuxiong/SoptSC	SoptSC, a computational method for single cell data analysis.	MIT	2017-08-07	2018-05-25
SOUP	R	https://github.com/lingxuez/SOUPR	SOUP, for Semi-sOft clUstering with Pure cells, is a clustering method for single cell data.	GPL-2.0-or-later	2019-01-11	2019-01-11
souporcell	Python/Rust	https://github.com/wheaton5/souporcell	souporcell is a method for clustering mixed-genotype scRNAseq experiments by individual.	MIT	2019-07-15	2020-05-14
SoupX	R	https://github.com/constantAmateur/SoupX	An R package for the estimation and removal of cell free mRNA contamination in droplet based single cell RNA-seq data.	GPL-2.0	2018-05-13	2021-05-21
SPADE	R	https://github.com/nolanlab/spade	Visualization and cellular hierarchy inference of single-cell data using SPADE.	GPL-2.0-or-later	2016-09-09	2018-03-07
SpaOTsc	Python	https://github.com/zcang/SpaOTsc	SpaOTsc: spatial optimal transport for single-cell transcriptomics data	MIT	2020-05-07	2020-05-07
SparseDC	R	https://github.com/cran/SparseDC	A sparse differential clustering algorithm for tracing cell type changes via single-cell RNA-sequencing data	GPL-3.0	2017-11-21	2017-11-21
SPARSim	R	https://gitlab.com/sysbiobig/sparsim	SPARSim is a single cell RNA-seq (scRNA-seq) count data simulator	GPL-3.0	2019-10-28	2019-10-28
SPaRTAN	Python/C	https://github.com/osmanbeyoglulab/SPaRTAN	SPaRTAN (Single-cell Proteomic and RNA based Transcription factor Activity Network) ntegrates parallel surface protein measurements with mRNA expression data in cells based on CITE-seqseq data	NA	2021-01-08	2021-09-24
speckle	R	https://github.com/Oshlack/speckle	The speckle package currently contains functions to analyse differences in cell type proportions in single cell RNA-seq data, and to classify cells as male or female	GPL-3.0	2021-12-03	2021-12-03
Specter	MATLAB	https://github.com/canzarlab/Specter	A novel tool for clustering large-scale single cell RNA-seq and multi-modal data	NA	2020-06-16	2020-06-16
Spectre	R	https://github.com/ImmuneDynamics/Spectre	Spectre is an R package and computational toolkit that enables comprehensive end-to-end integration, exploration, and analysis of high-dimensional cytometry, imaging, or single-cell data from different batches or experiments	MIT	2021-11-05	2021-11-05
Spectrum	R	https://github.com/crj32/Spectrum	Fast Adaptive Spectral Clustering for Single and Multi-View Data	AGPL-3.0	2019-05-23	2019-05-23
Sphetcher	C++	https://github.com/canzarlab/Sphetcher	A software package for sampling massive singe-cell RNA secquencing datasets based on the spherical thresholding algorithm	NA	2021-11-05	2021-11-05
splattdr	R	https://github.com/zacharewskilab/splattdr	The splattdr package is a wrapper for Splatter allowing the simulation of dose-response single-cell RNA sequencing data	NA	2021-09-17	2021-09-17
Splatter	R	https://github.com/Oshlack/splatter	Splatter is a package for the simple simulation of single-cell RNA-seq count data.	GPL-3.0	2016-10-27	2021-12-17
SPmarker	Python	https://github.com/LiLabAtVT/SPMarker	SPmarker is a machine learning based approach for identification of marker genes and classification of cells in plant tissues	GPL-3.0	2021-10-18	2022-03-04
SPRING	Python/MATLAB/Javascript	https://github.com/AllonKleinLab/SPRING	SPRING is a collection of pre-processing scripts and a web browser-based tool for visualizing and interacting with high dimensional data.	NA	2016-12-05	2016-12-05
SPsimSeq	R	https://github.com/CenterForStatistics-UGent/SPsimSeq	Semi-parametric simulation of bulk and single cell RNA-seq data	GPL-2.0	2019-06-28	2021-01-08
SSBER	R	https://github.com/zy456/SSBER	SSBER: removing batch effect for single-cell RNA sequencing data	NA	2021-05-21	2021-05-21
sscClust	R	https://github.com/Japrin/sscClust	simpler single cell RNAseq data clustering (sscClust), is a package implement mutilple functionalities which are basic procedures in single cell RNAseq data analysis, including variable genes identification, dimension reduction, clustering on reduced data.	GPL-3.0	2018-11-13	2019-06-20
SSrGE	Python	https://github.com/lanagarmire/SSrGE	This procedure aims to fit sparse linear models using a binary matrix (n_samples x n_SNV) as features matrix and a gene expression matrix (n_genes x n_samples) as response.	MIT	2017-01-10	2018-12-01
StabMap	R	https://github.com/MarioniLab/StabMap	Mosaic single cell data integration using non-overlapping features	GPL-2.0	2022-03-04	2022-03-04
STACAS	R	https://github.com/carmonalab/STACAS	STACAS is a method for anchor identification, designed to be easily incorporated in Seurat pipelines for batch correction and integration of scRNA-seq datasets	GPL-3.0	2020-06-16	2020-06-16
STAR	C/C++	https://github.com/alexdobin/STAR	STARsolo: mapping, demultiplexing and gene quantification for single cell RNA-seq	MIT	2019-01-25	2021-06-28
STARE	C++	https://github.com/schulzlab/STARE	Look into TF regulation on gene level leveraging an adapted Activity-By-Contact score	MIT	2022-02-04	2022-02-04
StationaryOT	Python	https://github.com/zsteve/StationaryOT	Dynamic inference from single-cell snapshots by optimal transport	MIT	2021-03-05	2021-12-17
STEMNET	R	https://git.embl.de/velten/STEMNET	We first use hierarchical clustering to identify the most mature cell populations; we then use these populations as a training set to classify priming in the less mature populations.	GPL-3.0	2018-02-16	2018-02-16
STREAM	Python/Docker	https://github.com/pinellolab/stream	STREAM is an interactive computational pipeline for reconstructing complex cellular developmental trajectories from sc-qPCR, scRNA-seq or scATAC-seq data.	AGPL-3.0	2018-04-24	2019-05-07
supCPM	MATLAB	https://github.com/zhiqianZ/supCPM	Supervised Capacity Preserved Mapping (supCPM): supervised visualization method of scRNAseq data	NA	2021-06-25	2021-06-25
SuperCell	R	https://github.com/GfellerLab/SuperCell	SuperCell is a network-based coarse-graining framework where highly similar cells are merged into super-cells	NA	2021-06-11	2021-06-11
supercells	Python	https://github.com/compugen-ltd/supercells	Supercells is a tool which generates a single report for multiple 10x cellranger samples - thus saving time and allowing comparative QC analysis	BSD-3-Clause	2021-08-06	2021-08-06
Superscan	Python	https://github.com/cshasha/superscan	Superscan (Supervised Single-Cell Annotation) is a Python package for annotation of human scRNA-seq data	NA	2021-05-28	2021-05-28
SwarnSeq	R	https://github.com/sam-uofl/SwarnSeq	This R package performs Differential Expression, and Differential Zero Inflation analysis of Single-Cell RNA-seq (scRNA-seq) data	GPL-3.0	2021-11-27	2021-11-27
